               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089717,            0.034742,            0.043877,             0.18445,             0.36995,             0.18278,            0.084771,            0.061621,            0.017084,            0.033717,            0.070273,            0.003303,            0.003303
                   1,            0.062352,             0.02799,            0.031396,             0.21548,             0.43546,             0.28049,             0.11809,            0.055967,            0.012641,            0.027112,            0.039835,           0.0061984,           0.0061984
                   2,            0.060372,            0.025486,            0.024459,             0.25271,             0.49462,             0.31948,             0.15893,            0.055175,            0.011733,            0.021776,           0.0089567,           0.0086537,           0.0086537
                   3,            0.054957,            0.024451,            0.020971,             0.30445,             0.51071,             0.36306,             0.21044,            0.046051,            0.012056,            0.024601,             0.00802,             0.00802,             0.00802
                   4,            0.050325,            0.025243,              0.0202,             0.41341,             0.46185,             0.37776,             0.22028,            0.046786,            0.012699,            0.021312,             0.00802,             0.00802,             0.00802
                   5,            0.045984,            0.023913,            0.019175,             0.44976,             0.54643,             0.46151,             0.26531,            0.043604,            0.012547,            0.019404,             0.00736,             0.00736,             0.00736
                   6,            0.044506,            0.022452,            0.017384,             0.48717,             0.50933,             0.48843,             0.29607,            0.042214,            0.012352,            0.020167,              0.0067,              0.0067,              0.0067
                   7,            0.043292,            0.022526,            0.016253,              0.4916,             0.46738,             0.42376,             0.26092,            0.041723,            0.012545,            0.021396,             0.00604,             0.00604,             0.00604
                   8,            0.041113,            0.022682,            0.013945,             0.47697,             0.48687,             0.47512,             0.27816,             0.04085,            0.012364,            0.018893,             0.00538,             0.00538,             0.00538
                   9,            0.038816,            0.022448,            0.015201,              0.4979,             0.58901,             0.50773,              0.3147,            0.037611,             0.01232,            0.017375,             0.00472,             0.00472,             0.00472
                  10,            0.038102,            0.021957,            0.012944,             0.55621,             0.52984,             0.50791,             0.32347,            0.037738,            0.012288,            0.020343,             0.00406,             0.00406,             0.00406
                  11,            0.034988,            0.020686,            0.012322,             0.50425,             0.55438,             0.54446,             0.35945,              0.0374,            0.012105,            0.015798,              0.0034,              0.0034,              0.0034
                  12,            0.035134,            0.020656,            0.011184,             0.57384,             0.50661,             0.52271,             0.36116,             0.03726,            0.012024,            0.021281,             0.00274,             0.00274,             0.00274
                  13,            0.032557,            0.020476,            0.011701,             0.50668,             0.60937,             0.55796,             0.37835,             0.03702,            0.011938,            0.017355,             0.00208,             0.00208,             0.00208
                  14,            0.031249,             0.02046,            0.010216,             0.58628,             0.58159,             0.59238,             0.40864,            0.035845,            0.011867,             0.02055,             0.00142,             0.00142,             0.00142
