               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11554,            0.014572,            0.052449,           0.0030759,             0.59858,            0.008989,           0.0029906,             0.11239,            0.006344,            0.051566,              0.0883,              0.0013,              0.0013
                   1,             0.10039,            0.019195,            0.049246,            0.027335,             0.13934,            0.020901,           0.0056461,            0.092138,           0.0086008,            0.047101,            0.075165,           0.0021654,           0.0021654
                   2,            0.087028,            0.021211,            0.046032,             0.11128,             0.11398,            0.073462,            0.024098,            0.082878,           0.0088527,            0.043782,            0.061476,           0.0024764,           0.0024764
                   3,            0.075878,            0.021643,            0.044361,             0.25773,             0.14983,              0.1149,            0.046671,            0.078028,           0.0087567,            0.042045,            0.047233,            0.002233,            0.002233
                   4,            0.067946,            0.021095,             0.04392,            0.085678,               0.232,             0.10201,            0.045277,            0.071223,           0.0088567,            0.041179,            0.032435,           0.0014352,           0.0014352
