               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089717,            0.034742,            0.043877,             0.15857,             0.34762,              0.1839,            0.048864,            0.064971,            0.030701,            0.037763,            0.070273,            0.003303,            0.003303
                   1,            0.062352,             0.02799,            0.031396,             0.84614,             0.18333,             0.31494,             0.10534,            0.056937,            0.022561,            0.026586,            0.039835,           0.0061984,           0.0061984
                   2,            0.060372,            0.025486,            0.024459,             0.40233,             0.53968,             0.54183,             0.18344,            0.063778,            0.018527,            0.020466,           0.0089567,           0.0086537,           0.0086537
                   3,            0.054957,            0.024451,            0.020971,             0.52962,             0.67648,             0.69232,             0.24026,            0.049215,            0.018604,            0.024485,             0.00802,             0.00802,             0.00802
                   4,            0.050325,            0.025243,              0.0202,             0.76084,             0.46386,             0.62985,              0.2768,             0.04731,            0.020826,            0.022204,             0.00802,             0.00802,             0.00802
                   5,            0.045984,            0.023913,            0.019175,             0.82632,             0.78194,             0.90014,             0.42341,            0.042788,            0.017522,            0.010757,             0.00736,             0.00736,             0.00736
                   6,            0.044506,            0.022452,            0.017384,             0.65499,             0.56842,             0.72429,             0.31244,            0.045208,            0.019483,            0.017369,              0.0067,              0.0067,              0.0067
                   7,            0.043292,            0.022526,            0.016253,              0.9149,             0.55926,             0.80966,             0.36172,            0.043851,            0.018348,            0.015618,             0.00604,             0.00604,             0.00604
                   8,            0.041113,            0.022682,            0.013945,             0.66492,             0.70317,             0.73577,             0.34513,            0.043194,            0.018955,            0.014333,             0.00538,             0.00538,             0.00538
                   9,            0.038816,            0.022448,            0.015201,             0.63761,             0.73094,             0.68284,             0.31539,            0.039336,             0.01845,            0.014498,             0.00472,             0.00472,             0.00472
                  10,            0.038102,            0.021957,            0.012944,             0.57685,             0.71177,             0.66316,             0.29345,            0.042951,            0.018723,            0.020587,             0.00406,             0.00406,             0.00406
                  11,            0.034988,            0.020686,            0.012322,             0.73319,             0.63642,             0.75561,             0.30672,            0.045155,            0.020364,            0.011079,              0.0034,              0.0034,              0.0034
                  12,            0.035134,            0.020656,            0.011184,             0.80321,             0.58651,             0.75545,             0.31835,            0.041866,            0.021086,             0.02425,             0.00274,             0.00274,             0.00274
                  13,            0.032557,            0.020476,            0.011701,             0.86253,             0.74573,             0.83831,             0.38796,            0.041037,            0.020645,            0.012059,             0.00208,             0.00208,             0.00208
                  14,            0.031249,             0.02046,            0.010216,             0.79221,             0.74802,             0.80124,             0.36378,            0.041441,            0.022027,            0.010272,             0.00142,             0.00142,             0.00142
