               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091259,             0.03514,            0.043463,             0.14109,             0.32752,              0.1481,            0.069554,            0.069217,            0.018301,            0.036154,            0.070545,           0.0032727,           0.0032727
                   1,            0.062638,             0.02805,            0.030386,              0.2774,             0.43721,             0.31733,             0.14041,            0.059037,            0.012996,            0.028486,            0.039237,           0.0052981,           0.0052981
                   2,            0.057334,            0.026124,            0.024738,             0.32939,             0.44806,             0.38656,             0.18403,            0.058024,            0.012041,            0.023356,           0.0066095,           0.0060034,           0.0060034
                   3,            0.049828,            0.024373,            0.020786,             0.35507,             0.49642,             0.40152,             0.20764,            0.051429,            0.012042,            0.022207,             0.00406,             0.00406,             0.00406
                   4,            0.047754,            0.024534,            0.018171,             0.50614,             0.58259,             0.52611,             0.29971,            0.047699,            0.012059,            0.020528,             0.00406,             0.00406,             0.00406
