               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10751,            0.016908,            0.050905,           0.0034897,              0.6967,            0.028092,           0.0088105,            0.092623,           0.0085301,            0.047414,            0.070545,           0.0032727,           0.0032727
                   1,            0.081817,            0.021508,            0.045616,            0.080997,             0.24288,             0.06787,            0.026574,            0.082957,           0.0084964,            0.043971,            0.039237,           0.0052981,           0.0052981
                   2,            0.068191,            0.019276,            0.042711,             0.12888,             0.36156,             0.13683,            0.055164,            0.066564,           0.0081989,            0.041396,           0.0066095,           0.0060034,           0.0060034
                   3,            0.058789,             0.01811,            0.041514,             0.19239,             0.41645,             0.20548,             0.12343,            0.057069,           0.0078775,            0.039472,             0.00406,             0.00406,             0.00406
                   4,            0.055662,            0.017805,            0.040677,             0.22616,             0.37517,             0.27235,             0.15733,             0.05283,              0.0073,            0.037311,             0.00406,             0.00406,             0.00406
